Site,id,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"Sorrento","site",50.8685889544008,-119.451671522659,506,7,18.7,-5,23.7,549,210,31,89.3,513,1831,4119,130,209,130,275,146,146,-31.1,37,10.8,698,387,65,-5.57,926
"Kalamalka","site",50.235700955307,-119.276634080816,486,8,19.7,-3.9,23.7,399,167,45,118.2,426,2044,3829,189,223,119,280,161,79,-29.5,38,11.5,725,473,66,-24.97,1071
"Vernon","site",50.229950432172,-119.320136897136,525,7.8,19.5,-4,23.5,405,171,44.1,113.9,433,2002,3869,174,221,120,280,159,81,-29.8,37.8,10.7,718,462,66,-23.5,1036
"PRT","site",50.3870923312565,-119.29182887665,464,7.6,19.3,-4.5,23.7,437,177,40.2,109.1,466,1959,3947,159,216,124,276,153,98,-30.6,37.7,11.4,726,455,64,-20.66,1006
"PGTIS","site",53.7683909350725,-122.715779753023,598,3.9,15.5,-9.6,25.1,640,277,21.8,55.9,941,1296,5131,31,167,148,257,109,234,-39.8,34,11.2,571,245,60,14.63,532
"Tolko","site",50.3968272593781,-119.209891311872,522,7.3,19,-4.7,23.7,470,190,36.8,100.1,493,1910,4025,146,211,126,275,150,113,-31.3,37.8,10.4,721,435,64,-16.65,975
"KettleRiver","site",49.2226589402711,-118.933972154881,632,6.9,18.6,-5.3,23.9,384,166,44.1,111.6,545,1834,4149,124,192,136,265,129,99,-33,39,11.2,785,544,59,-33.03,916
"Border","site",59.532,-127.791,671,-1.4,14.4,-19.4,33.8,468,245,18.4,58.6,2269,947,7051,14,127,170,242,72,208,-48.9,32.7,10,471,194,58,9.07,341
"Trench","site",56.155,-124.108,659,1.5,14.2,-13.4,27.6,507,238,22.7,59.8,1404,1019,5995,16,150,157,250,93,213,-41.9,32.2,11,489,213,64,12.63,368
"Sorrento","grid",50.84375,-119.46875,796,5.6,17.1,-6,23.1,613,235,25.5,72.5,647,1534,4553,65,189,139,270,131,202,-33.7,35.6,10.3,642,306,64,7.4,709
"Kalamalka","grid",50.21875,-119.28125,395,8.3,20.2,-3.8,24,398,167,46,120.9,414,2130,3751,221,227,118,281,163,76,-29,38.5,11.5,741,490,66,-27.21,1137
"Vernon","grid",50.21875,-119.34375,739,6.9,18.3,-4.7,23,426,182,39.6,100.7,509,1777,4157,114,209,126,277,151,102,-31.3,36.6,11.9,679,410,66,-15.75,881
"PRT","grid",50.40625,-119.28125,548,7.2,18.9,-4.9,23.7,457,182,37.7,103.8,506,1890,4058,138,211,126,275,150,113,-31.3,37.4,11.7,715,437,65,-17.16,958
"PGTIS","grid",53.78125,-122.71875,597,4,15.5,-9.6,25.1,640,276,21.8,56.2,939,1299,5124,31,168,147,257,110,235,-39.9,33.9,11.3,570,245,60,14.7,534
"Tolko","grid",50.40625,-119.21875,405,7.6,19.3,-4.6,24,439,181,40,107.1,478,1971,3956,165,214,125,275,150,100,-30.8,38.4,10.8,737,464,64,-21.74,1018
"KettleRiver","grid",49.21875,-118.90625,836,5.9,17.2,-6.1,23.3,416,178,38.1,96.8,633,1589,4477,71,178,144,261,117,125,-34.8,37.7,11.3,729,480,59,-23.27,742
"Border","grid",59.53125,-127.78125,678,-1.4,14.3,-19.4,33.7,467,244,18.4,58.7,2263,942,7051,14,127,170,242,72,208,-48.8,32.7,10.1,470,193,58,9.03,338
"Trench","grid",56.15625,-124.09375,683,1.5,14.1,-13.4,27.5,516,244,22.2,57.9,1406,1004,6015,15,149,157,249,92,217,-41.9,32.1,10.9,486,206,64,13.84,358
