id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
27,"FIN",55.9333333333333,-123.766666666667,701,1.8,14.1,-12.9,27,537,249,21.9,56.6,1330,1020,5909,17,153,156,251,95,223,-41,32.1,11,483,202,65,16.12,371
28,"FIN",55.8333333333333,-123.683333333333,723,1.7,14,-12.8,26.8,592,257,19.7,54.6,1342,1011,5934,17,150,159,250,91,265,-41.3,32,11,490,198,64,20.97,365
29,"HH",56.55,-121.266666666667,823,0.8,14.7,-14.9,29.6,472,289,22.9,50.7,1677,1070,6246,18,150,151,249,98,155,-45.8,32,11.7,481,152,61,8.96,404
30,"HH",56.7333333333333,-121.783333333333,914,0.6,14.3,-14.6,28.9,494,311,21.5,46,1667,1013,6315,15,144,155,248,93,157,-45.6,32,11.4,479,125,61,11.35,372
31,"HH",56.9833333333333,-122.266666666667,1067,0.1,13.3,-14,27.4,534,359,19,37.2,1667,867,6489,14,134,162,243,81,164,-45.3,30.8,11.6,457,61,61,18.25,278
32,"HH",57,-122.416666666667,1128,-0.1,12.9,-13.9,26.9,548,366,18.1,35.4,1677,813,6570,12,131,164,243,79,175,-45,30.4,11.6,446,42,61,21.07,244
33,"FN",57.2333333333333,-122.683333333333,945,0.3,13.6,-14.3,27.9,555,384,18.5,35.3,1652,892,6441,14,133,164,244,80,160,-45.7,31.4,10.8,466,42,59,19.22,292
34,"FN",57.6,-122.95,1250,-0.6,12,-13.9,25.9,614,398,15.2,30.3,1731,690,6782,12,122,168,240,72,223,-45.2,29.3,10.9,384,5,61,30.66,175
35,"FN",57.6333333333333,-122.983333333333,1097,-0.5,12.8,-14.8,27.6,613,401,15.6,31.8,1772,777,6716,11,127,166,242,76,209,-45.5,30.2,10.9,399,11,61,28.51,225
36,"FN",57.8666666666667,-122.883333333333,792,-0.4,14.2,-17.1,31.3,578,385,16.7,36.9,1936,959,6675,14,135,159,242,83,179,-46,32,10.8,468,62,59,21.17,341
37,"FN",58.75,-123.616666666667,549,-0.9,15.1,-20.3,35.4,517,331,17.5,45.6,2268,1085,6892,21,140,156,246,90,162,-47.2,33.4,10.5,478,109,59,13.27,423
38,"FN",58.7166666666667,-123.666666666667,610,-1,14.7,-19.7,34.4,548,356,16.5,41.3,2221,1026,6899,17,137,159,245,85,171,-47.2,32.9,10,471,76,59,17.41,388
39,"FN",58.7166666666667,-123.65,617,-1,14.7,-19.5,34.1,551,358,16.4,41,2207,1018,6893,17,136,160,244,85,172,-47.2,32.8,10.5,469,74,59,17.95,383
40,"FN",58.7,-123.666666666667,640,-1,14.5,-19.3,33.8,563,369,16,39.3,2193,997,6907,16,135,161,244,83,175,-47.2,32.6,10.6,466,58,59,19.65,369
41,"FN",58.7,-123.666666666667,701,-1,14.2,-18.8,33,574,378,15.6,37.5,2154,948,6923,13,133,163,243,80,181,-47.2,32.1,10.6,458,45,59,21.74,336
42,"FN",58.6666666666667,-123.833333333333,853,-1.2,13.3,-17.6,30.9,638,429,13.8,31,2071,832,6970,8,126,170,241,71,204,-47,31,11.1,439,5,59,30.66,261
43,"FN",58.6666666666667,-123.866666666667,860,-1.2,13.2,-17.5,30.7,631,426,13.9,30.9,2067,821,6978,8,126,170,241,70,201,-47,30.9,10.6,400,1,59,30.09,254
44,"FN",58.65,-124.15,739,-1.1,13.8,-18.2,32,632,427,14.1,32.4,2107,892,6942,11,129,165,242,77,195,-47.1,31.5,10.1,449,10,58,28.99,301
45,"FN",58.65,-124.15,739,-1.1,13.8,-18.2,32,632,427,14.1,32.4,2107,892,6942,11,129,165,242,77,195,-47.1,31.5,10.1,449,10,58,28.99,301
46,"FN",58.65,-124.316666666667,891,-1.2,13,-17.1,30.1,685,471,12.8,27.5,2034,785,6994,7,124,171,240,69,215,-46.8,30.5,10,392,0,58,36.59,233
47,"FN",58.6666666666667,-124.483333333333,1006,-1.3,12.3,-16.3,28.6,692,476,12.5,25.8,1986,711,7032,9,120,177,240,63,226,-46.6,29.9,10.2,382,0,59,38.79,189
48,"FN",58.65,-124.766666666667,1219,-1.5,11.1,-14.8,25.9,696,481,12.2,23.2,1904,591,7099,11,114,179,240,61,246,-46.2,28.6,11.4,359,2,61,42.48,125
49,"FN",58.65,-124.566666666667,1128,-1.4,11.7,-15.5,27.2,694,481,12.3,24.2,1940,641,7070,10,116,180,240,60,232,-46.3,29.2,11.1,368,0,60,40.86,151
50,"FN",58.85,-125.166666666667,693,-1.2,14.2,-18.7,32.9,496,291,17.7,48.9,2205,939,6991,13,124,174,239,66,189,-47.9,33,10.5,482,151,56,10.9,334
51,"FN",58.7833333333333,-125.683333333333,884,-1.1,13.1,-16.7,29.8,548,328,16.3,40,2025,818,6938,8,122,175,241,66,214,-48.6,31.2,9.7,455,98,57,19.8,252
52,"FN",58.8333333333333,-125.716666666667,1097,-1.4,12,-15.7,27.7,594,344,14.5,34.8,1972,680,7057,10,117,177,240,63,256,-47.6,29.6,10.6,384,50,59,28.53,171
53,"FN",59.1333333333333,-125.866666666667,884,-1.3,13.2,-17.4,30.7,547,326,15.9,40.6,2102,828,7011,8,122,175,240,65,214,-48.7,31.2,10.1,449,94,57,19.96,260
54,"FN",59.4166666666667,-126.083333333333,838,-1.6,13.5,-19,32.5,565,346,14.9,39,2224,848,7116,9,122,175,239,64,218,-49.4,31.7,9.8,415,60,58,21.04,274
55,"DK",59.55,-126.416666666667,533,-1.6,15.2,-21.2,36.4,493,274,17,55.4,2451,1060,7129,21,132,163,243,80,203,-52,33.9,10,443,154,57,9.78,416
56,"DK",59.6666666666667,-126.45,610,-1.8,14.8,-20.9,35.8,524,296,15.7,50,2438,987,7190,17,128,170,243,72,218,-50.5,33.3,9.6,430,119,57,14.79,373
57,"DK",59.6333333333333,-126.733333333333,1006,-1.8,12.5,-18.1,30.6,524,290,15.6,43.3,2172,723,7219,6,116,176,237,61,241,-49.5,30.4,10.2,378,94,57,20.19,198
58,"DK",59.6166666666667,-126.716666666667,860,-1.8,13.4,-19.1,32.5,512,280,16,47.9,2274,825,7201,8,121,172,239,67,231,-49.9,31.6,11.6,409,121,57,16.5,261
59,"DK",59.6166666666667,-126.716666666667,792,-1.8,13.8,-19.4,33.2,505,274,16.3,50.2,2300,869,7180,10,123,170,240,69,226,-49.8,32,11.1,416,131,56,14.84,290
60,"DK",59.9666666666667,-128.1,716,-1.8,14.1,-20,34.1,509,269,16.2,52.5,2347,908,7187,12,126,169,242,74,229,-50.4,32.3,10.1,412,138,57,15.49,319
